scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K1,,rrt_star,,4,SUCESSO,,5005.588413998339,276.1510249983985,0,,,2.738749308545557,,1,3.7752755761166465,4.00724142482896,-0.23196584871231352,0.23196584871231352,4.00724142482896,0.0,0.0,182.76913474262497,184.00110593414192,3,1.7633937452304194,64.60000000000038,5.083609146999152
C1,K1,,rrt_star,,5,SUCESSO,,5008.3689670009335,195.18587800121168,0,,,2.7695581543069103,,1,3.7353528037906756,3.9697882540637,-0.2344354502730246,0.2344354502730246,3.9697882540637,0.0,0.0,180.8363893429164,182.06154526217813,5,1.0540455725896982,64.00000000000037,5.087356281001121
C1,K1,,rrt_star,,6,SUCESSO,,5006.209807999767,234.1891529995337,0,,,2.7570158541570082,,1,3.750727975429247,3.982417485788162,-0.23168951035891494,0.23168951035891494,3.982417485788162,0.0,0.0,181.58074065665747,182.81014311689216,4,1.1121790978327208,64.20000000000037,5.09527123999942
C1,K1,,rrt_star,,7,SUCESSO,,5007.751715000268,233.70045900082914,0,,,2.7597606246502897,,1,3.748151710102392,4.021527608415574,-0.27337589831318176,0.27337589831318176,4.021527608415574,0.0,0.0,181.4560172455116,182.58549804939756,5,0.8107101217885477,64.80000000000038,5.096367542000735
C1,K1,,rrt_star,,8,SUCESSO,,5010.634186000971,266.0814440023387,0,,,2.7399161636725196,,1,3.7774714778408867,4.022005991888924,-0.24453451404803728,0.24453451404803728,4.022005991888924,0.0,0.0,182.87545627983135,184.11783375804322,6,1.2055392841174286,64.80000000000038,5.103608186000201
C1,K1,,rrt_star,,9,SUCESSO,,5005.5343880012515,182.59609500091756,0,,,2.7630308056252852,,1,3.742057686850857,3.9698433885858284,-0.22778570173497137,0.22778570173497137,3.9698433885858284,0.0,0.0,181.16100543687128,182.3521638773434,4,1.1479531198521489,64.00000000000037,5.082185596000272
C1,K1,,rrt_star,,10,SUCESSO,,5010.391704998256,204.29193799827772,0,,,2.7633904147489154,,1,3.7452017387321628,3.995489528581925,-0.2502877898497622,0.2502877898497622,3.995489528581925,0.0,0.0,181.31320418050683,182.51803339952835,6,1.1417657893762505,64.40000000000038,5.091372488999696
C1,K1,,rrt_star,,11,SUCESSO,,5009.567580998919,202.246696999282,0,,,2.716940311129204,,1,3.8086047151073705,4.0589341182901455,-0.25032940318277497,0.25032940318277497,4.0589341182901455,0.0,0.0,184.38268814661086,185.62121728358903,5,1.2099525411969658,65.40000000000039,5.093305614998826
C1,K1,,rrt_star,,12,SUCESSO,,5004.5731059999525,196.38616399970488,0,,,2.751759144229798,,1,3.7566645766796825,3.9821712975739225,-0.22550672089424006,0.22550672089424006,3.9821712975739225,0.0,0.0,181.86813756916592,183.0393487675297,3,1.2969115159570035,64.20000000000037,5.077254289999473
C1,K1,,rrt_star,,14,SUCESSO,,5005.857901998752,266.214138999203,0,,,2.7439430109627376,,1,3.7683324856249274,3.9946728312330557,-0.22634034560812832,0.22634034560812832,3.9946728312330557,0.0,0.0,182.43301271196594,183.6066114004016,3,2.718903676866698,64.40000000000038,5.076169642999957
C1,K1,,rrt_star,,13,SUCESSO,,5008.593202999691,274.1955619985674,0,,,2.7091794680273185,,1,3.818771887674434,4.136122924087534,-0.31735103641310003,0.31735103641310003,4.136122924087534,0.0,0.0,184.87491368176816,186.60254823485397,5,0.5280529672466514,66.6000000000004,5.09340912100015
C1,K1,,rrt_star,,15,SUCESSO,,5007.691986000282,249.84404200040444,0,,,2.712878757326606,,1,3.8128787807461197,4.058424850511967,-0.24554606976584736,0.24554606976584736,4.058424850511967,0.0,0.0,184.58959776496198,185.85544860175764,4,1.2179714252990879,65.40000000000039,5.084580741000536
C1,K1,,rrt_star,,16,SUCESSO,,5008.407461999013,241.81648699959624,0,,,2.7245330170332647,,1,3.797111618512985,4.059437293560437,-0.2623256750474523,0.2623256750474523,4.059437293560437,0.0,0.0,183.82627153671464,185.0802848650012,5,0.7473576170311131,65.40000000000039,5.0900635850011895
C1,K1,,rrt_star,,17,SUCESSO,,5007.233913998789,218.28441199977533,0,,,2.7538733664007475,,1,3.755776235910665,3.9950053656428874,-0.23922912973222266,0.23922912973222266,3.9950053656428874,0.0,0.0,181.82513310490867,182.99669094877905,4,1.4213381985023616,64.40000000000038,5.082334045000607
C1,K1,,rrt_star,,18,SUCESSO,,5008.1528650007385,344.11712600012834,0,,,2.748018351547877,,1,3.7644691169396896,3.995008045748344,-0.23053892880865456,0.23053892880865456,3.995008045748344,0.0,0.0,182.24597598410486,183.45298571008863,4,1.8133381680964553,64.40000000000038,5.107231333999152
C1,K1,,rrt_star,,19,SUCESSO,,5007.339628999034,340.714128999025,0,,,2.7169035489966906,,1,3.806962704003706,4.0449424364210635,-0.2379797324173576,0.2379797324173576,4.0449424364210635,0.0,0.0,184.30317965642047,185.5245793789855,3,1.337970806749988,65.20000000000039,5.131005109999023
C1,K1,,rrt_star,,20,SUCESSO,,5012.750177000271,172.80574300093576,0,,,2.7615896689919346,,1,3.74940800626686,3.9959293863435903,-0.24652138007673008,0.24652138007673008,3.9959293863435903,0.0,0.0,181.51683551271682,182.67930402939595,5,0.8546798363143611,64.40000000000038,5.134544292999635
C1,K2,,astar,4.0,0,SUCESSO,replanner setup 0.73s,334.936679000748,334.936679000748,2,24.91118350008037,31.419561000802787,0.18397529180547817,0.01725825586128119,1,3.7605296154543404,4.036416310208602,-0.27588669475426153,0.27588669475426153,4.036416310208602,0.0,0.0,182.05525085123125,184.87189813980194,4,1.8297738800576986,65.04982236700054,1.479720929000905
C1,K2,,astar,4.0,1,SUCESSO,replanner setup 0.75s,377.01083600040874,377.01083600040874,1,10.303421999196871,10.303421999196871,0.20775873901220485,0.005677889751851673,1,3.7483517230024255,3.996128189892175,-0.24777646688974952,0.24777646688974952,3.996128189892175,0.0,0.0,181.46569323289026,183.40746551636386,4,1.6244365947640595,64.41030342199957,1.577688882000075
